Place name,Month,Year,Station number,Rentals,Returns,,,,,,,
City Hall,August,2015,3902,830,855,,,,,,,
College Square East,August,2015,3919,256,193,,,,,,,
Corporation Square,August,2015,3922,838,838,,,,,,,
Cotton Court / Waring Street,August,2015,3926,265,297,,,,,,,
Donegall Quay,August,2015,3904,895,865,,,,,,,
Dunbar Link / Gordon Street,August,2015,3916,260,274,,,,,,,
Europa Bus Station / Blackstaff Square,August,2015,3910,505,557,,,,,,,
Gasworks (Cromac Street),August,2015,3907,837,785,,,,,,,
Gasworks (Lagan Towpath),August,2015,3927,812,889,,,,,,,
Great Victoria Street / Hope Street,August,2015,3911,424,404,,,,,,,
Linenhall Street / Donegall Square South,August,2015,3928,386,366,,,,,,,
Millfield / Divis Street,August,2015,3920,286,249,,,,,,,
North Street / Waring Street,August,2015,3917,290,356,,,,,,,
Odyssey / Sydenham Road,August,2015,3921,1870,1855,,,,,,,
Royal Avenue / Castlecourt,August,2015,3925,307,352,,,,,,,
Smithfield / Winetavern Street,August,2015,3913,148,147,,,,,,,
St George's Market / Cromac Square,August,2015,3906,435,439,,,,,,,
Victoria Square / Victoria Street,August,2015,3903,468,475,,,,,,,
Waterfront,August,2015,3908,789,814,,,,,,,
Writer's Square / St Anne's Cathedral,August,2015,3931,292,300,,,,,,,
Alfred Street / St Malachy's Church,September,2015,3923,907,886,,,,,,,
Arthur Street / Chichester Street,September,2015,3929,886,909,,,,,,,
Bankmore Square / Dublin Road,September,2015,3918,730,658,,,,,,,
Botanic Avenue / Shaftesbury Square,September,2015,3909,1122,1196,,,,,,,
Bradbury Place,September,2015,3924,1097,1031,,,,,,,
Carrick Hill/St Patricks Church,September,2015,3915,308,249,,,,,,,
Castle Place / Royal Avenue,September,2015,3912,864,912,,,,,,,
Cathedral Gardens / York Street,September,2015,3914,430,363,,,,,,,
Central Station / East Bridge Street,September,2015,3930,301,225,,,,,,,
Central Station / Mays Meadow,September,2015,3905,1098,1082,,,,,,,
City Hall,September,2015,3902,960,942,,,,,,,
College Square East,September,2015,3919,270,216,,,,,,,
Corporation Square,September,2015,3922,859,906,,,,,,,
Cotton Court / Waring Street,September,2015,3926,299,329,,,,,,,
Donegall Quay,September,2015,3904,863,861,,,,,,,
Dunbar Link / Gordon Street,September,2015,3916,305,323,,,,,,,
Europa Bus Station / Blackstaff Square,September,2015,3910,589,650,,,,,,,
Gasworks (Cromac Street),September,2015,3907,931,866,,,,,,,
Gasworks (Lagan Towpath),September,2015,3927,945,955,,,,,,,
Great Victoria Street / Hope Street,September,2015,3911,392,365,,,,,,,
Linenhall Street / Donegall Square South,September,2015,3928,398,391,,,,,,,
Millfield / Divis Street,September,2015,3920,277,235,,,,,,,
North Street / Waring Street,September,2015,3917,368,421,,,,,,,
Odyssey / Sydenham Road,September,2015,3921,1899,1885,,,,,,,
Royal Avenue / Castlecourt,September,2015,3925,337,384,,,,,,,
Smithfield / Winetavern Street,September,2015,3913,164,136,,,,,,,
St George's Market / Cromac Square,September,2015,3906,551,587,,,,,,,
Victoria Square / Victoria Street,September,2015,3903,478,524,,,,,,,
Waterfront,September,2015,3908,888,1009,,,,,,,
Writer's Square / St Anne's Cathedral,September,2015,3931,283,286,,,,,,,
Alfred Street / St Malachy's Church,October,2015,3923,881,838,,,,,,,
Arthur Street / Chichester Street,October,2015,3929,909,979,,,,,,,
Bankmore Square / Dublin Road,October,2015,3918,683,645,,,,,,,
Botanic Avenue / Shaftesbury Square,October,2015,3909,1255,1326,,,,,,,
Bradbury Place,October,2015,3924,1128,1056,,,,,,,
Carrick Hill/St Patricks Church,October,2015,3915,268,245,,,,,,,
Castle Place / Royal Avenue,October,2015,3912,894,934,,,,,,,
Cathedral Gardens / York Street,October,2015,3914,446,402,,,,,,,
Central Station / East Bridge Street,October,2015,3930,426,394,,,,,,,
Central Station / Mays Meadow,October,2015,3905,1015,1020,,,,,,,
City Hall,October,2015,3902,885,885,,,,,,,
College Square East,October,2015,3919,232,194,,,,,,,
Corporation Square,October,2015,3922,796,782,,,,,,,
Cotton Court / Waring Street,October,2015,3926,294,294,,,,,,,
Donegall Quay,October,2015,3904,783,853,,,,,,,
Dunbar Link / Gordon Street,October,2015,3916,243,260,,,,,,,
Europa Bus Station / Blackstaff Square,October,2015,3910,527,598,,,,,,,
Gasworks (Cromac Street),October,2015,3907,807,745,,,,,,,
Gasworks (Lagan Towpath),October,2015,3927,872,941,,,,,,,
Great Victoria Street / Hope Street,October,2015,3911,328,345,,,,,,,
Linenhall Street / Donegall Square South,October,2015,3928,395,332,,,,,,,
Millfield / Divis Street,October,2015,3920,291,251,,,,,,,
North Street / Waring Street,October,2015,3917,280,319,,,,,,,
Odyssey / Sydenham Road,October,2015,3921,1744,1633,,,,,,,
Royal Avenue / Castlecourt,October,2015,3925,320,385,,,,,,,
Smithfield / Winetavern Street,October,2015,3913,138,101,,,,,,,
St George's Market / Cromac Square,October,2015,3906,411,391,,,,,,,
Victoria Square / Victoria Street,October,2015,3903,430,472,,,,,,,
Waterfront,October,2015,3908,819,879,,,,,,,
Writer's Square / St Anne's Cathedral,October,2015,3931,270,255,,,,,,,
Alfred Street / St Malachy's Church,November,2015,3923,644,611,,,,,,,
Arthur Street / Chichester Street,November,2015,3929,671,750,,,,,,,
Bankmore Square / Dublin Road,November,2015,3918,538,478,,,,,,,
Botanic Avenue / Shaftesbury Square,November,2015,3909,878,863,,,,,,,
Bradbury Place,November,2015,3924,809,710,,,,,,,
Carrick Hill/St Patricks Church,November,2015,3915,244,209,,,,,,,
Castle Place / Royal Avenue,November,2015,3912,665,701,,,,,,,
Cathedral Gardens / York Street,November,2015,3914,416,367,,,,,,,
Central Station / East Bridge Street,November,2015,3930,272,343,,,,,,,
Central Station / Mays Meadow,November,2015,3905,869,836,,,,,,,
City Hall,November,2015,3902,733,732,,,,,,,
College Square East,November,2015,3919,157,143,,,,,,,
Corporation Square,November,2015,3922,763,739,,,,,,,
Cotton Court / Waring Street,November,2015,3926,205,222,,,,,,,
Donegall Quay,November,2015,3904,693,662,,,,,,,
Dunbar Link / Gordon Street,November,2015,3916,191,235,,,,,,,
Europa Bus Station / Blackstaff Square,November,2015,3910,447,465,,,,,,,
Gasworks (Cromac Street),November,2015,3907,682,592,,,,,,,
Gasworks (Lagan Towpath),November,2015,3927,626,708,,,,,,,
Great Victoria Street / Hope Street,November,2015,3911,198,239,,,,,,,
Linenhall Street / Donegall Square South,November,2015,3928,316,281,,,,,,,
Millfield / Divis Street,November,2015,3920,164,184,,,,,,,
North Street / Waring Street,November,2015,3917,195,260,,,,,,,
Odyssey / Sydenham Road,November,2015,3921,1485,1475,,,,,,,
Queens University / Botanic Gardens ,November,2015,3934,22,19,,,,,,,
Queens University / University Road ,November,2015,3933,462,444,,,,,,,
Royal Avenue / Castlecourt,November,2015,3925,267,281,,,,,,,
Smithfield / Winetavern Street,November,2015,3913,117,84,,,,,,,
St George's Market / Cromac Square,November,2015,3906,330,315,,,,,,,
Titanic Belfast Met,November,2015,3932,0,0,,,,,,,
Victoria Square / Victoria Street,November,2015,3903,338,368,,,,,,,
Waterfront,November,2015,3908,664,749,,,,,,,
Writer's Square / St Anne's Cathedral,November,2015,3931,198,187,,,,,,,
Alfred Street / St Malachy's Church,December,2015,3923,533,525,,,,,,,
Arthur Street / Chichester Street,December,2015,3929,620,750,,,,,,,
Bankmore Square / Dublin Road,December,2015,3918,459,431,,,,,,,
Botanic Avenue / Shaftesbury Square,December,2015,3909,703,606,,,,,,,
Bradbury Place,December,2015,3924,544,401,,,,,,,
Carrick Hill/St Patricks Church,December,2015,3915,207,144,,,,,,,
Castle Place / Royal Avenue,December,2015,3912,567,638,,,,,,,
Cathedral Gardens / York Street,December,2015,3914,253,274,,,,,,,
Central Station / East Bridge Street,December,2015,3930,234,252,,,,,,,
Central Station / Mays Meadow,December,2015,3905,665,636,,,,,,,
City Hall,December,2015,3902,665,731,,,,,,,
College Square East,December,2015,3919,120,117,,,,,,,
Corporation Square,December,2015,3922,569,592,,,,,,,
Cotton Court / Waring Street,December,2015,3926,161,184,,,,,,,
Donegall Quay,December,2015,3904,585,523,,,,,,,
Dunbar Link / Gordon Street,December,2015,3916,124,155,,,,,,,
Europa Bus Station / Blackstaff Square,December,2015,3910,348,359,,,,,,,
Gasworks (Cromac Street),December,2015,3907,556,485,,,,,,,
Gasworks (Lagan Towpath),December,2015,3927,509,580,,,,,,,
Great Victoria Street / Hope Street,December,2015,3911,225,235,,,,,,,
Linenhall Street / Donegall Square South,December,2015,3928,276,252,,,,,,,
Millfield / Divis Street,December,2015,3920,121,117,,,,,,,
North Street / Waring Street,December,2015,3917,158,206,,,,,,,
Odyssey / Sydenham Road,December,2015,3921,971,883,,,,,,,
Queens University / Botanic Gardens ,December,2015,3934,341,335,,,,,,,
Queens University / University Road ,December,2015,3933,544,456,,,,,,,
Royal Avenue / Castlecourt,December,2015,3925,192,235,,,,,,,
Smithfield / Winetavern Street,December,2015,3913,92,57,,,,,,,
St George's Market / Cromac Square,December,2015,3906,230,250,,,,,,,
Titanic Belfast Met,December,2015,3932,459,542,,,,,,,
Victoria Square / Victoria Street,December,2015,3903,313,364,,,,,,,
Waterfront,December,2015,3908,513,529,,,,,,,
Writer's Square / St Anne's Cathedral,December,2015,3931,155,167,,,,,,,
Alfred Street / St Malachy's Church,January ,2016,3923,587,567,,,,,,,
Arthur Street / Chichester Street,January ,2016,3929,489,595,,,,,,,
Bankmore Square / Dublin Road,January,2016,3918,410,357,,,,,,,
Botanic Avenue / Shaftesbury Square,January,2016,3909,600,608,,,,,,,
Bradbury Place,January,2016,3924,433,363,,,,,,,
Carrick Hill/St Patricks Church,January,2016,3915,201,154,,,,,,,
Castle Place / Royal Avenue,January,2016,3912,515,545,,,,,,,
Cathedral Gardens / York Street,January,2016,3914,263,264,,,,,,,
Central Station / East Bridge Street,January,2016,3930,279,330,,,,,,,
Central Station / Mays Meadow,January,2016,3905,677,637,,,,,,,
City Hall,January,2016,3902,557,525,,,,,,,
College Square East,January,2016,3919,115,86,,,,,,,
Corporation Square,January,2016,3922,526,554,,,,,,,
Cotton Court / Waring Street,January,2016,3926,171,174,,,,,,,
Donegall Quay,January,2016,3904,460,455,,,,,,,
Dunbar Link / Gordon Street,January,2016,3916,141,182,,,,,,,
Europa Bus Station / Blackstaff Square,January,2016,3910,395,418,,,,,,,
Gasworks (Cromac Street),January,2016,3907,488,442,,,,,,,
Gasworks (Lagan Towpath),January,2016,3927,538,581,,,,,,,
Great Victoria Street / Hope Street,January,2016,3911,241,272,,,,,,,
Linenhall Street / Donegall Square South,January,2016,3928,248,219,,,,,,,
Millfield / Divis Street,January,2016,3920,127,127,,,,,,,
North Street / Waring Street,January,2016,3917,126,181,,,,,,,
Odyssey / Sydenham Road,January,2016,3921,745,683,,,,,,,
Queens University / Botanic Gardens ,January,2016,3934,303,288,,,,,,,
Queens University / University Road ,January,2016,3933,562,514,,,,,,,
Royal Avenue / Castlecourt,January,2016,3925,199,232,,,,,,,
Smithfield / Winetavern Street,January,2016,3913,93,54,,,,,,,
St George's Market / Cromac Square,January,2016,3906,217,236,,,,,,,
Titanic Belfast Met,January,2016,3932,541,547,,,,,,,
Victoria Square / Victoria Street,January,2016,3903,256,297,,,,,,,
Waterfront,January,2016,3908,443,468,,,,,,,
Writer's Square / St Anne's Cathedral,January,2016,3931,160,142,,,,,,,
Alfred Street / St Malachy's Church,February,2016,3923,656,646,,,,,,,
Arthur Street / Chichester Street,February,2016,3929,526,586,,,,,,,
Bankmore Square / Dublin Road,February,2016,3918,515,450,,,,,,,
Botanic Avenue / Shaftesbury Square,February,2016,3909,640,633,,,,,,,
Bradbury Place,February,2016,3924,574,535,,,,,,,
Carrick Hill/St Patricks Church,February,2016,3915,240,177,,,,,,,
Castle Place / Royal Avenue,February,2016,3912,630,676,,,,,,,
Cathedral Gardens / York Street,February,2016,3914,345,288,,,,,,,
Central Station / East Bridge Street,February,2016,3930,368,362,,,,,,,
Central Station / Mays Meadow,February,2016,3905,747,677,,,,,,,
City Hall,February,2016,3902,627,561,,,,,,,
College Square East,February,2016,3919,140,110,,,,,,,
Corporation Square,February,2016,3922,518,608,,,,,,,
Cotton Court / Waring Street,February,2016,3926,170,196,,,,,,,
Donegall Quay,February,2016,3904,584,577,,,,,,,
Dunbar Link / Gordon Street,February,2016,3916,124,130,,,,,,,
Europa Bus Station / Blackstaff Square,February,2016,3910,459,491,,,,,,,
Gasworks (Cromac Street),February,2016,3907,561,497,,,,,,,
Gasworks (Lagan Towpath),February,2016,3927,568,627,,,,,,,
Great Victoria Street / Hope Street,February,2016,3911,277,342,,,,,,,
Linenhall Street / Donegall Square South,February,2016,3928,283,231,,,,,,,
Millfield / Divis Street,February,2016,3920,129,135,,,,,,,
North Street / Waring Street,February,2016,3917,118,166,,,,,,,
Odyssey / Sydenham Road,February,2016,3921,783,689,,,,,,,
Queens University / Botanic Gardens ,February,2016,3934,358,383,,,,,,,
Queens University / University Road ,February,2016,3933,714,682,,,,,,,
Royal Avenue / Castlecourt,February,2016,3925,209,249,,,,,,,
Smithfield / Winetavern Street,February,2016,3913,92,63,,,,,,,
St George's Market / Cromac Square,February,2016,3906,273,297,,,,,,,
Titanic Belfast Met,February,2016,3932,618,727,,,,,,,
Victoria Square / Victoria Street,February,2016,3903,283,320,,,,,,,
Waterfront,February,2016,3908,533,526,,,,,,,
Writer's Square / St Anne's Cathedral,February,2016,3931,199,210,,,,,,,
Alfred Street / St Malachy's Church,March,2016,3923,711,645,,,,,,,
Arthur Street / Chichester Street,March,2016,3929,590,680,,,,,,,
Bankmore Square / Dublin Road,March,2016,3918,582,522,,,,,,,
Botanic Avenue / Shaftesbury Square,March,2016,3909,759,716,,,,,,,
Bradbury Place,March,2016,3924,712,618,,,,,,,
Carrick Hill/St Patricks Church,March,2016,3915,346,265,,,,,,,
Castle Place / Royal Avenue,March,2016,3912,708,756,,,,,,,
Cathedral Gardens / York Street,March,2016,3914,321,281,,,,,,,
Central Station / East Bridge Street,March,2016,3930,367,360,,,,,,,
Central Station / Mays Meadow,March,2016,3905,832,750,,,,,,,
City Hall,March,2016,3902,662,696,,,,,,,
College Square East,March,2016,3919,123,133,,,,,,,
Corporation Square,March,2016,3922,608,662,,,,,,,
Cotton Court / Waring Street,March,2016,3926,216,277,,,,,,,
Donegall Quay,March,2016,3904,31,36,,,,,,,
Dunbar Link / Gordon Street,March,2016,3916,202,246,,,,,,,
Europa Bus Station / Blackstaff Square,March,2016,3910,445,516,,,,,,,
Gasworks (Cromac Street),March,2016,3907,581,486,,,,,,,
Gasworks (Lagan Towpath),March,2016,3927,612,665,,,,,,,
Great Victoria Street / Hope Street,March,2016,3911,288,344,,,,,,,
Linenhall Street / Donegall Square South,March,2016,3928,288,278,,,,,,,
Millfield / Divis Street,March,2016,3920,172,144,,,,,,,
North Street / Waring Street,March,2016,3917,191,270,,,,,,,
Odyssey / Sydenham Road,March,2016,3921,940,776,,,,,,,
Queens University / Botanic Gardens ,March,2016,3934,512,555,,,,,,,
Queens University / University Road ,March,2016,3933,645,571,,,,,,,
Royal Avenue / Castlecourt,March,2016,3925,217,284,,,,,,,
Smithfield / Winetavern Street,March,2016,3913,99,79,,,,,,,
St George's Market / Cromac Square,March,2016,3906,273,269,,,,,,,
Titanic Belfast Met,March,2016,3932,745,811,,,,,,,
Victoria Square / Victoria Street,March,2016,3903,387,458,,,,,,,
Waterfront,March,2016,3908,585,569,,,,,,,
Writer's Square / St Anne's Cathedral,March,2016,3931,201,214,,,,,,,
Alfred Street / St Malachy's Church,April,2016,3923,739,659,,,,,,,
