Place name,Month,Year,Station number,Rentals,Returns,,,,,,,
Belfast City Hospital Lisburn Rd,May,2017,3935,829,731,,,,,,,
Botanic Avenue / Shaftesbury Square,May,2017,3909,929,839,,,,,,,
Bradbury Place,May,2017,3924,548,377,,,,,,,
Carrick Hill/St Patricks Church,May,2017,3915,255,242,,,,,,,
Castle Place / Royal Avenue,May,2017,3912,843,928,,,,,,,
Cathedral Gardens / York Street,May,2017,3914,293,294,,,,,,,
Central Station / East Bridge Street,May,2017,3930,195,266,,,,,,,
Central Station / Mays Meadow,May,2017,3905,865,761,,,,,,,
City Hall,May,2017,3902,1044,971,,,,,,,
College Square East,May,2017,3919,226,233,,,,,,,
Corporation Square,May,2017,3922,987,1073,,,,,,,
Cotton Court / Waring Street,May,2017,3926,283,285,,,,,,,
CS Lewis Square,May,2017,3944,746,802,,,,,,,
Donegall Quay,May,2017,3904,891,867,,,,,,,
Dunbar Link / Gordon Street,May,2017,3916,305,300,,,,,,,
Europa Bus Station / Blackstaff Square,May,2017,3910,817,784,,,,,,,
Gasworks (Cromac Street),May,2017,3907,586,579,,,,,,,
Gasworks (Lagan Towpath),May,2017,3927,933,1007,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,May,2017,3942,7,28,,,,,,,
Great Victoria Street / Hope Street,May,2017,3911,595,630,,,,,,,
Grosvenor Road/ Servia Street,May,2017,3940,64,157,,,,,,,
Linenhall Street / Donegall Square South,May,2017,3928,393,392,,,,,,,
Mater Hospital/Crumlin Road,May,2017,3937,31,27,,,,,,,
Millfield / Divis Street,May,2017,3920,164,183,,,,,,,
North Street / Waring Street,May,2017,3917,365,413,,,,,,,
Odyssey / Sydenham Road,May,2017,3921,1268,1231,,,,,,,
Queens University / Botanic Gardens ,May,2017,3934,840,866,,,,,,,
Queens University / University Road ,May,2017,3933,885,806,,,,,,,
Royal Avenue / Castlecourt,May,2017,3925,393,425,,,,,,,
Royal Victoria Hospital,May,2017,3936,119,120,,,,,,,
Shankill Leisure Centre/ Shankill Road,May,2017,3938,38,54,,,,,,,
Smithfield / Winetavern Street,May,2017,3913,48,85,,,,,,,
St George's Market / Cromac Square,May,2017,3906,272,273,,,,,,,
Sydenham Road,May,2017,,,,,,,,,,
Titanic Belfast Met,May,2017,3932,1331,1330,,,,,,,
Victoria Square / Victoria Street,May,2017,3903,455,451,,,,,,,
Waterfront,May,2017,3908,802,806,,,,,,,
Writer's Square / St Anne's Cathedral,May,2017,3931,225,208,,,,,,,
Alfred Street / St Malachy's Church,June,2017,3923,976,977,,,,,,,
Antrim Road / Duncairn Centre,June,2017,3943,107,107,,,,,,,
Arthur Street / Chichester Street,June,2017,3929,1036,1107,,,,,,,
Bankmore Square / Dublin Road,June,2017,3918,675,661,,,,,,,
Belfast City Hospital Lisburn Rd,June,2017,3935,738,624,,,,,,,
Botanic Avenue / Shaftesbury Square,June,2017,3909,813,805,,,,,,,
Bradbury Place,June,2017,3924,493,356,,,,,,,
Carrick Hill/St Patricks Church,June,2017,3915,230,213,,,,,,,
Castle Place / Royal Avenue,June,2017,3912,923,989,,,,,,,
Cathedral Gardens / York Street,June,2017,3914,268,273,,,,,,,
Central Station / East Bridge Street,June,2017,3930,193,259,,,,,,,
Central Station / Mays Meadow,June,2017,3905,859,813,,,,,,,
City Hall,June,2017,3902,946,835,,,,,,,
College Square East,June,2017,3919,195,189,,,,,,,
Corporation Square,June,2017,3922,973,1093,,,,,,,
Cotton Court / Waring Street,June,2017,3926,216,233,,,,,,,
CS Lewis Square,June,2017,3944,673,721,,,,,,,
Donegall Quay,June,2017,3904,889,793,,,,,,,
Dunbar Link / Gordon Street,June,2017,3916,257,263,,,,,,,
Europa Bus Station / Blackstaff Square,June,2017,3910,830,806,,,,,,,
Falls Road/Twin Spire,June,2017,3941,19,16,,,,,,,
Gasworks (Cromac Street),June,2017,3907,677,616,,,,,,,
Gasworks (Lagan Towpath),June,2017,3927,918,1012,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,June,2017,3942,7,17,,,,,,,
Great Victoria Street / Hope Street,June,2017,3911,589,591,,,,,,,
Grosvenor Road/ Servia Street,June,2017,3940,73,158,,,,,,,
Linenhall Street / Donegall Square South,June,2017,3928,328,322,,,,,,,
Mater Hospital/Crumlin Road,June,2017,3937,23,18,,,,,,,
Millfield / Divis Street,June,2017,3920,150,154,,,,,,,
North Street / Waring Street,June,2017,3917,303,342,,,,,,,
Odyssey / Sydenham Road,June,2017,3921,1344,1371,,,,,,,
Queens University / Botanic Gardens ,June,2017,3934,740,787,,,,,,,
Queens University / University Road ,June,2017,3933,809,698,,,,,,,
Royal Avenue / Castlecourt,June,2017,3925,312,326,,,,,,,
Royal Victoria Hospital,June,2017,3936,98,98,,,,,,,
Shankill Leisure Centre/ Shankill Road,June,2017,3938,34,45,,,,,,,
Smithfield / Winetavern Street,June,2017,3913,58,89,,,,,,,
St George's Market / Cromac Square,June,2017,3906,312,280,,,,,,,
Titanic Belfast Met,June,2017,3932,1204,1205,,,,,,,
Victoria Square / Victoria Street,June,2017,3903,547,513,,,,,,,
Waterfront,June,2017,3908,752,755,,,,,,,
Writer's Square / St Anne's Cathedral,June,2017,3931,211,200,,,,,,,
Alfred Street / St Malachy's Church,July,2017,3923,760,764,,,,,,,
Antrim Road / Duncairn Centre,July,2017,3943,92,100,,,,,,,
Arthur Street / Chichester Street,July,2017,3929,892,938,,,,,,,
Bankmore Square / Dublin Road,July,2017,3918,642,621,,,,,,,
Belfast City Hospital Lisburn Rd,July,2017,3935,687,600,,,,,,,
Botanic Avenue / Shaftesbury Square,July,2017,3909,743,723,,,,,,,
Bradbury Place,July,2017,3924,416,285,,,,,,,
Carrick Hill/St Patricks Church,July,2017,3915,160,128,,,,,,,
Castle Place / Royal Avenue,July,2017,3912,800,811,,,,,,,
Cathedral Gardens / York Street,July,2017,3914,226,204,,,,,,,
Central Station / East Bridge Street,July,2017,3930,139,217,,,,,,,
Central Station / Mays Meadow,July,2017,3905,671,694,,,,,,,
City Hall,July,2017,3902,850,769,,,,,,,
College Square East,July,2017,3919,182,178,,,,,,,
Corporation Square,July,2017,3922,846,910,,,,,,,
Cotton Court / Waring Street,July,2017,3926,208,196,,,,,,,
CS Lewis Square,July,2017,3944,564,628,,,,,,,
Donegall Quay,July,2017,3904,839,784,,,,,,,
Dunbar Link / Gordon Street,July,2017,3916,184,178,,,,,,,
Europa Bus Station / Blackstaff Square,July,2017,3910,655,660,,,,,,,
Falls Road/Twin Spire,July,2017,3941,19,21,,,,,,,
Gasworks (Cromac Street),July,2017,3907,489,458,,,,,,,
Gasworks (Lagan Towpath),July,2017,3927,724,740,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,July,2017,3942,3,7,,,,,,,
Great Victoria Street / Hope Street,July,2017,3911,547,553,,,,,,,
Grosvenor Road/ Servia Street,July,2017,3940,45,90,,,,,,,
Linenhall Street / Donegall Square South,July,2017,3928,247,242,,,,,,,
Mater Hospital/Crumlin Road,July,2017,3937,30,30,,,,,,,
Millfield / Divis Street,July,2017,3920,171,179,,,,,,,
North Street / Waring Street,July,2017,3917,271,272,,,,,,,
Odyssey / Sydenham Road,July,2017,3921,1160,1106,,,,,,,
Queens University / Botanic Gardens ,July,2017,3934,724,792,,,,,,,
Queens University / University Road ,July,2017,3933,628,609,,,,,,,
Royal Avenue / Castlecourt,July,2017,3925,304,326,,,,,,,
Royal Victoria Hospital,July,2017,3936,58,61,,,,,,,
Shankill Leisure Centre/ Shankill Road,July,2017,3938,34,45,,,,,,,
Smithfield / Winetavern Street,July,2017,3913,53,77,,,,,,,
St George's Market / Cromac Square,July,2017,3906,224,212,,,,,,,
Titanic Belfast Met,July,2017,3932,977,982,,,,,,,
Victoria Square / Victoria Street,July,2017,3903,388,378,,,,,,,
Waterfront,July,2017,3908,607,610,,,,,,,
Writer's Square / St Anne's Cathedral,July,2017,3931,171,176,,,,,,,
